"ID","Name","Description","Price","Stock","Category","Image URL","Rating","Review Count"
"1","Product 1","This is the description for product 1. It is a high-quality item in the Books category.","12.50","99","Books","https://example.com/images/product_1.jpg","4.0","3"
"2","Product 2","This is the description for product 2. It is a high-quality item in the Clothing category.","15.00","98","Clothing","https://example.com/images/product_2.jpg","4.5","6"
"3","Product 3","This is the description for product 3. It is a high-quality item in the Home & Kitchen category.","17.50","97","Home & Kitchen","https://example.com/images/product_3.jpg","5.0","9"
"4","Product 4","This is the description for product 4. It is a high-quality item in the Sports category.","20.00","96","Sports","https://example.com/images/product_4.jpg","5.5","12"
"5","Product 5","This is the description for product 5. It is a high-quality item in the Toys category.","22.50","95","Toys","https://example.com/images/product_5.jpg","3.5","15"
"6","Product 6","This is the description for product 6. It is a high-quality item in the Beauty category.","25.00","94","Beauty","https://example.com/images/product_6.jpg","4.0","18"
"7","Product 7","This is the description for product 7. It is a high-quality item in the Automotive category.","27.50","93","Automotive","https://example.com/images/product_7.jpg","4.5","21"
"8","Product 8","This is the description for product 8. It is a high-quality item in the Electronics category.","30.00","92","Electronics","https://example.com/images/product_8.jpg","5.0","24"
"9","Product 9","This is the description for product 9. It is a high-quality item in the Books category.","32.50","91","Books","https://example.com/images/product_9.jpg","5.5","27"
"10","Product 10","This is the description for product 10. It is a high-quality item in the Clothing category.","35.00","90","Clothing","https://example.com/images/product_10.jpg","3.5","30"
"11","Product 11","This is the description for product 11. It is a high-quality item in the Home & Kitchen category.","37.50","89","Home & Kitchen","https://example.com/images/product_11.jpg","4.0","33"
"12","Product 12","This is the description for product 12. It is a high-quality item in the Sports category.","40.00","88","Sports","https://example.com/images/product_12.jpg","4.5","36"
"13","Product 13","This is the description for product 13. It is a high-quality item in the Toys category.","42.50","87","Toys","https://example.com/images/product_13.jpg","5.0","39"
"14","Product 14","This is the description for product 14. It is a high-quality item in the Beauty category.","45.00","86","Beauty","https://example.com/images/product_14.jpg","5.5","42"
"15","Product 15","This is the description for product 15. It is a high-quality item in the Automotive category.","47.50","85","Automotive","https://example.com/images/product_15.jpg","3.5","45"
"16","Product 16","This is the description for product 16. It is a high-quality item in the Electronics category.","50.00","84","Electronics","https://example.com/images/product_16.jpg","4.0","48"
"17","Product 17","This is the description for product 17. It is a high-quality item in the Books category.","52.50","83","Books","https://example.com/images/product_17.jpg","4.5","1"
"18","Product 18","This is the description for product 18. It is a high-quality item in the Clothing category.","55.00","82","Clothing","https://example.com/images/product_18.jpg","5.0","4"
"19","Product 19","This is the description for product 19. It is a high-quality item in the Home & Kitchen category.","57.50","81","Home & Kitchen","https://example.com/images/product_19.jpg","5.5","7"
"20","Product 20","This is the description for product 20. It is a high-quality item in the Sports category.","60.00","80","Sports","https://example.com/images/product_20.jpg","3.5","10"
"21","Product 21","This is the description for product 21. It is a high-quality item in the Toys category.","62.50","79","Toys","https://example.com/images/product_21.jpg","4.0","13"
"22","Product 22","This is the description for product 22. It is a high-quality item in the Beauty category.","65.00","78","Beauty","https://example.com/images/product_22.jpg","4.5","16"
"23","Product 23","This is the description for product 23. It is a high-quality item in the Automotive category.","67.50","77","Automotive","https://example.com/images/product_23.jpg","5.0","19"
"24","Product 24","This is the description for product 24. It is a high-quality item in the Electronics category.","70.00","76","Electronics","https://example.com/images/product_24.jpg","5.5","22"
"25","Product 25","This is the description for product 25. It is a high-quality item in the Books category.","72.50","75","Books","https://example.com/images/product_25.jpg","3.5","25"
"26","Product 26","This is the description for product 26. It is a high-quality item in the Clothing category.","75.00","74","Clothing","https://example.com/images/product_26.jpg","4.0","28"
"27","Product 27","This is the description for product 27. It is a high-quality item in the Home & Kitchen category.","77.50","73","Home & Kitchen","https://example.com/images/product_27.jpg","4.5","31"
"28","Product 28","This is the description for product 28. It is a high-quality item in the Sports category.","80.00","72","Sports","https://example.com/images/product_28.jpg","5.0","34"
"29","Product 29","This is the description for product 29. It is a high-quality item in the Toys category.","82.50","71","Toys","https://example.com/images/product_29.jpg","5.5","37"
"30","Product 30","This is the description for product 30. It is a high-quality item in the Beauty category.","85.00","70","Beauty","https://example.com/images/product_30.jpg","3.5","40"